Date,Price,Open,High,Low,Vol.,Change %,Chg. %,Unnamed: 7
02/13/2024,120.5,120.5,120.5,120.5,,0.42%,,
02/14/2024,119.75,119.75,119.75,119.75,,-0.62%,,
02/15/2024,119.25,119.25,119.25,119.25,,-0.42%,,
02/16/2024,119.25,119.25,119.25,119.25,,0.00%,,
02/19/2024,119.6,119.6,119.6,119.6,,0.29%,,
02/20/2024,119.6,119.6,119.6,119.6,,0.00%,,
02/21/2024,119.4,115.0,115.0,115.0,0.00K,-0.17%,,
02/22/2024,119.4,119.4,119.4,119.4,,0.00%,,
02/23/2024,119.4,119.4,119.4,119.4,,0.00%,,
02/26/2024,127.75,127.5,127.5,127.5,0.06K,6.99%,,
02/27/2024,129.2,130.5,130.5,129.0,0.08K,1.14%,,
02/28/2024,129.5,129.75,131.0,129.75,0.07K,0.23%,,
02/29/2024,131.0,131.0,131.0,131.0,0.02K,1.16%,,
03/01/2024,132.0,132.0,132.0,132.0,,0.76%,,
03/04/2024,136.0,136.0,136.0,136.0,0.02K,3.03%,,
03/05/2024,137.45,137.5,137.5,137.1,0.02K,1.07%,,
03/06/2024,136.75,136.75,136.75,136.75,0.03K,-0.51%,,
03/07/2024,135.5,135.5,135.5,135.5,0.02K,-0.91%,,
03/08/2024,134.4,134.4,134.4,134.4,,-0.81%,,
03/11/2024,133.0,134.0,134.0,132.75,0.01K,-1.04%,,
03/12/2024,130.65,130.65,130.65,130.65,,-1.77%,,
03/13/2024,131.1,131.1,131.1,131.1,,0.34%,,
03/14/2024,131.5,131.5,131.5,131.5,0.01K,0.31%,,
03/15/2024,131.0,131.0,131.0,131.0,0.04K,-0.38%,,
03/18/2024,129.75,129.75,129.75,129.75,0.03K,-0.95%,,
03/19/2024,129.4,129.4,129.4,129.4,,-0.27%,,
03/20/2024,128.9,128.9,128.9,128.9,,-0.39%,,
03/21/2024,128.25,128.25,128.25,128.25,,-0.50%,,
03/22/2024,127.7,127.7,127.7,127.7,,-0.43%,,
03/25/2024,128.95,128.95,128.95,128.95,,0.98%,,
03/26/2024,128.9,128.9,128.9,128.9,,-0.04%,,
03/27/2024,129.0,129.0,129.0,129.0,,0.08%,,
03/28/2024,129.1,129.1,129.1,129.1,,0.08%,,
04/01/2024,132.0,132.0,132.0,132.0,,2.25%,,
04/02/2024,132.25,132.25,132.25,132.25,0.04K,0.19%,,
04/03/2024,129.65,129.65,129.65,129.65,0.01K,-1.97%,,
04/04/2024,128.2,128.2,128.2,128.2,0.02K,-1.12%,,
04/05/2024,129.1,129.1,129.1,129.1,0.02K,0.70%,,
04/08/2024,128.2,128.2,128.2,128.2,0.03K,-0.70%,,
04/09/2024,127.75,127.0,127.0,127.0,0.03K,-0.35%,,
04/10/2024,128.0,128.0,128.0,128.0,0.07K,0.20%,,
04/11/2024,128.75,128.75,128.75,128.75,0.02K,0.59%,,
