driver,ticker,event_date,driver_change_pct,buy_date,sell_date,buy_price,sell_price,capital,shares,return_pct,profit_rp,ending_value
GOLD,BRMS.JK,2023-01-13,5.44,2023-01-13,2023-01-30,157.0,181.0,1000000,6369.43,15.29,152866.0,1152866.0
GOLD,BRMS.JK,2023-03-13,5.21,2023-03-13,2023-03-29,158.0,170.0,1000000,6329.11,7.59,75949.0,1075949.0
GOLD,BRMS.JK,2023-10-17,5.38,2023-10-17,2023-10-31,194.0,194.0,1000000,5154.64,0.0,0.0,1000000.0
GOLD,BRMS.JK,2023-12-27,5.26,2023-12-27,2024-01-11,171.0,172.0,1000000,5847.95,0.58,5848.0,1005848.0
GOLD,BRMS.JK,2024-03-04,5.28,2024-03-04,2024-03-20,145.0,152.0,1000000,6896.55,4.83,48276.0,1048276.0
GOLD,BRMS.JK,2024-07-11,5.04,2024-07-11,2024-07-25,155.0,152.0,1000000,6451.61,-1.94,-19355.0,980645.0
GOLD,BRMS.JK,2024-08-20,5.11,2024-08-20,2024-09-03,159.0,169.0,1000000,6289.31,6.29,62893.0,1062893.0
GOLD,BRMS.JK,2024-09-20,5.07,2024-09-20,2024-10-04,175.0,268.0,1000000,5714.29,53.14,531429.0,1531429.0
GOLD,BRMS.JK,2025-02-10,6.46,2025-02-10,2025-02-24,362.0,418.0,1000000,2762.43,15.47,154696.0,1154696.0
GOLD,BRMS.JK,2025-03-14,5.56,2025-03-14,2025-04-08,374.0,284.0,1000000,2673.8,-24.06,-240642.0,759358.0
GOLD,BRMS.JK,2025-04-16,5.95,2025-04-16,2025-05-02,370.0,374.0,1000000,2702.7,1.08,10811.0,1010811.0
GOLD,BRMS.JK,2025-06-02,5.93,2025-06-02,2025-06-18,388.0,442.0,1000000,2577.32,13.92,139175.0,1139175.0
GOLD,BRMS.JK,2025-09-02,6.53,2025-09-02,2025-09-17,525.0,565.0,1000000,1904.76,7.62,76190.0,1076190.0
GOLD,BRMS.JK,2025-11-12,5.54,2025-11-12,2025-11-26,980.0,990.0,1000000,1020.41,1.02,10204.0,1010204.0
GOLD,BRMS.JK,2025-12-22,6.15,2025-12-22,2026-01-09,1165.0,1230.0,1000000,858.37,5.58,55794.0,1055794.0
GOLD,BRMS.JK,2026-04-07,5.74,2026-04-07,2026-04-21,760.0,900.0,1000000,1315.79,18.42,184211.0,1184211.0
GOLD,HRTA.JK,2019-06-06,5.03,2019-06-06,2019-06-21,248.0,250.0,1000000,4032.26,0.81,8065.0,1008065.0
GOLD,HRTA.JK,2019-08-07,5.94,2019-08-07,2019-08-21,332.0,292.0,1000000,3012.05,-12.05,-120482.0,879518.0
GOLD,HRTA.JK,2020-01-03,5.2,2020-01-03,2020-01-17,210.0,222.0,1000000,4761.9,5.71,57143.0,1057143.0
GOLD,HRTA.JK,2020-02-21,5.08,2020-02-21,2020-03-06,254.0,260.0,1000000,3937.01,2.36,23622.0,1023622.0
GOLD,HRTA.JK,2020-03-27,7.14,2020-03-27,2020-04-13,228.0,250.0,1000000,4385.96,9.65,96491.0,1096491.0
GOLD,HRTA.JK,2020-07-24,5.51,2020-07-24,2020-08-10,240.0,252.0,1000000,4166.67,5.0,50000.0,1050000.0
GOLD,HRTA.JK,2021-05-18,5.18,2021-05-18,2021-06-03,199.0,236.0,1000000,5025.13,18.59,185930.0,1185930.0
GOLD,HRTA.JK,2021-11-17,6.02,2021-11-17,2021-12-01,238.0,218.0,1000000,4201.68,-8.4,-84034.0,915966.0
GOLD,HRTA.JK,2022-02-17,5.42,2022-02-17,2022-03-07,216.0,220.0,1000000,4629.63,1.85,18519.0,1018519.0
GOLD,HRTA.JK,2022-11-10,5.4,2022-11-10,2022-11-24,204.0,204.0,1000000,4901.96,0.0,0.0,1000000.0
GOLD,HRTA.JK,2023-01-13,5.44,2023-01-13,2023-01-30,206.0,212.0,1000000,4854.37,2.91,29126.0,1029126.0
GOLD,HRTA.JK,2023-03-13,5.21,2023-03-13,2023-03-29,310.0,354.0,1000000,3225.81,14.19,141935.0,1141935.0
GOLD,HRTA.JK,2023-10-17,5.38,2023-10-17,2023-10-31,432.0,430.0,1000000,2314.81,-0.46,-4630.0,995370.0
GOLD,HRTA.JK,2023-12-27,5.26,2023-12-27,2024-01-11,348.0,352.0,1000000,2873.56,1.15,11494.0,1011494.0
GOLD,HRTA.JK,2024-03-04,5.28,2024-03-04,2024-03-20,358.0,386.0,1000000,2793.3,7.82,78212.0,1078212.0
GOLD,HRTA.JK,2024-07-11,5.04,2024-07-11,2024-07-25,384.0,400.0,1000000,2604.17,4.17,41667.0,1041667.0
GOLD,HRTA.JK,2024-08-20,5.11,2024-08-20,2024-09-03,406.0,386.0,1000000,2463.05,-4.93,-49261.0,950739.0
GOLD,HRTA.JK,2024-09-20,5.07,2024-09-20,2024-10-04,390.0,464.0,1000000,2564.1,18.97,189744.0,1189744.0
GOLD,HRTA.JK,2025-02-10,6.46,2025-02-10,2025-02-24,448.0,535.0,1000000,2232.14,19.42,194196.0,1194196.0
GOLD,HRTA.JK,2025-03-14,5.56,2025-03-14,2025-04-08,530.0,478.0,1000000,1886.79,-9.81,-98113.0,901887.0
GOLD,HRTA.JK,2025-04-16,5.95,2025-04-16,2025-05-02,600.0,655.0,1000000,1666.67,9.17,91667.0,1091667.0
GOLD,HRTA.JK,2025-06-02,5.93,2025-06-02,2025-06-18,640.0,665.0,1000000,1562.5,3.91,39062.0,1039062.0
GOLD,HRTA.JK,2025-09-02,6.53,2025-09-02,2025-09-17,730.0,860.0,1000000,1369.86,17.81,178082.0,1178082.0
GOLD,HRTA.JK,2025-11-12,5.54,2025-11-12,2025-11-26,1385.0,1515.0,1000000,722.02,9.39,93863.0,1093863.0
GOLD,HRTA.JK,2025-12-22,6.15,2025-12-22,2026-01-09,1875.0,2380.0,1000000,533.33,26.93,269333.0,1269333.0
GOLD,HRTA.JK,2026-04-07,5.74,2026-04-07,2026-04-21,2420.0,2970.0,1000000,413.22,22.73,227273.0,1227273.0
GOLD,MDKA.JK,2015-08-20,5.76,2015-08-20,2015-09-03,374.3123474121094,355.59674072265625,1000000,2671.57,-5.0,-50000.0,950000.0
GOLD,MDKA.JK,2015-10-14,5.79,2015-10-15,2015-10-29,364.9545593261719,374.3123474121094,1000000,2740.07,2.56,25641.0,1025641.0
GOLD,MDKA.JK,2016-02-04,5.32,2016-02-04,2016-02-19,355.59674072265625,355.59674072265625,1000000,2812.17,0.0,0.0,1000000.0
GOLD,MDKA.JK,2016-05-06,5.23,2016-05-09,2016-05-23,355.59674072265625,376.1839294433594,1000000,2812.17,5.79,57895.0,1057895.0
GOLD,MDKA.JK,2016-06-13,5.82,2016-06-13,2016-06-27,357.4682922363281,374.3123474121094,1000000,2797.45,4.71,47120.0,1047120.0
GOLD,MDKA.JK,2017-01-11,5.13,2017-01-11,2017-01-25,372.4407958984375,361.21142578125,1000000,2684.99,-3.02,-30151.0,969849.0
GOLD,MDKA.JK,2019-06-06,5.03,2019-06-06,2019-06-20,796.090576171875,835.1146240234375,1000000,1256.14,4.9,49020.0,1049020.0
GOLD,MDKA.JK,2019-08-07,5.94,2019-08-07,2019-08-21,1063.4052734375,1190.2333984375,1000000,940.38,11.93,119266.0,1119266.0
GOLD,MDKA.JK,2020-01-03,5.2,2020-01-03,2020-01-17,1141.453369140625,1170.721435546875,1000000,876.08,2.56,25641.0,1025641.0
GOLD,MDKA.JK,2020-02-21,5.08,2020-02-21,2020-03-06,1307.3055419921875,1263.403564453125,1000000,764.93,-3.36,-33582.0,966418.0
GOLD,MDKA.JK,2020-03-27,7.14,2020-03-27,2020-04-13,1048.771240234375,1229.2574462890625,1000000,953.5,17.21,172093.0,1172093.0
GOLD,MDKA.JK,2020-07-24,5.51,2020-07-24,2020-08-10,1673.156005859375,1931.6903076171875,1000000,597.67,15.45,154519.0,1154519.0
GOLD,MDKA.JK,2021-05-18,5.18,2021-05-18,2021-06-03,2565.8310546875,2653.63525390625,1000000,389.74,3.42,34221.0,1034221.0
GOLD,MDKA.JK,2021-11-17,6.02,2021-11-17,2021-12-01,3395.092041015625,3619.48046875,1000000,294.54,6.61,66092.0,1066092.0
GOLD,MDKA.JK,2022-02-17,5.42,2022-02-17,2022-03-07,3765.820556640625,4253.62109375,1000000,265.55,12.95,129534.0,1129534.0
GOLD,MDKA.JK,2022-11-10,5.4,2022-11-10,2022-11-24,4100.0,4430.0,1000000,243.9,8.05,80488.0,1080488.0
GOLD,MDKA.JK,2023-01-13,5.44,2023-01-13,2023-01-30,4500.0,4670.0,1000000,222.22,3.78,37778.0,1037778.0
GOLD,MDKA.JK,2023-03-13,5.21,2023-03-13,2023-03-29,4020.0,4130.0,1000000,248.76,2.74,27363.0,1027363.0
GOLD,MDKA.JK,2023-10-17,5.38,2023-10-17,2023-10-31,2580.0,2230.0,1000000,387.6,-13.57,-135659.0,864341.0
GOLD,MDKA.JK,2023-12-27,5.26,2023-12-27,2024-01-11,2680.0,2430.0,1000000,373.13,-9.33,-93284.0,906716.0
GOLD,MDKA.JK,2024-03-04,5.28,2024-03-04,2024-03-20,2280.0,2260.0,1000000,438.6,-0.88,-8772.0,991228.0
GOLD,MDKA.JK,2024-07-11,5.04,2024-07-11,2024-07-25,2400.0,2430.0,1000000,416.67,1.25,12500.0,1012500.0
GOLD,MDKA.JK,2024-08-20,5.11,2024-08-20,2024-09-03,2340.0,2360.0,1000000,427.35,0.85,8547.0,1008547.0
GOLD,MDKA.JK,2024-09-20,5.07,2024-09-20,2024-10-04,2260.0,2680.0,1000000,442.48,18.58,185841.0,1185841.0
GOLD,MDKA.JK,2025-02-10,6.46,2025-02-10,2025-02-24,1490.0,1715.0,1000000,671.14,15.1,151007.0,1151007.0
GOLD,MDKA.JK,2025-03-14,5.56,2025-03-14,2025-04-08,1340.0,1220.0,1000000,746.27,-8.96,-89552.0,910448.0
GOLD,MDKA.JK,2025-04-16,5.95,2025-04-16,2025-05-02,1415.0,1690.0,1000000,706.71,19.43,194346.0,1194346.0
GOLD,MDKA.JK,2025-06-02,5.93,2025-06-02,2025-06-18,2120.0,2240.0,1000000,471.7,5.66,56604.0,1056604.0
GOLD,MDKA.JK,2025-09-02,6.53,2025-09-02,2025-09-17,2570.0,2490.0,1000000,389.11,-3.11,-31128.0,968872.0
GOLD,MDKA.JK,2025-11-12,5.54,2025-11-12,2025-11-26,2420.0,2340.0,1000000,413.22,-3.31,-33058.0,966942.0
GOLD,MDKA.JK,2025-12-22,6.15,2025-12-22,2026-01-09,2260.0,2700.0,1000000,442.48,19.47,194690.0,1194690.0
GOLD,MDKA.JK,2026-04-07,5.74,2026-04-07,2026-04-21,3160.0,3370.0,1000000,316.46,6.65,66456.0,1066456.0
GOLD,PSAB.JK,2003-05-01,5.0,2003-05-01,2003-05-15,9.428570747375488,8.857142448425293,1000000,106060.61,-6.06,-60606.0,939394.0
GOLD,PSAB.JK,2003-07-24,5.2,2003-07-24,2003-08-07,8.857142448425293,8.857142448425293,1000000,112903.23,0.0,0.0,1000000.0
GOLD,PSAB.JK,2003-09-09,5.65,2003-09-09,2003-09-23,8.857142448425293,8.857142448425293,1000000,112903.23,0.0,0.0,1000000.0
GOLD,PSAB.JK,2004-03-26,6.78,2004-03-26,2004-04-09,8.857142448425293,8.857142448425293,1000000,112903.23,0.0,0.0,1000000.0
GOLD,PSAB.JK,2004-05-27,5.36,2004-05-27,2004-06-10,8.857142448425293,8.857142448425293,1000000,112903.23,0.0,0.0,1000000.0
GOLD,PSAB.JK,2005-02-22,5.05,2005-02-22,2005-03-08,8.857142448425293,8.857142448425293,1000000,112903.23,0.0,0.0,1000000.0
