driver,ticker,lookback,threshold,holding,events,winrate,avg_return,compound,profit_factor,mdd,expectancy,ranking
GOLD,MDKA.JK,5,5.0,2,4,50.0,1.19,4.57,2.05,4.47,1.19,110
GOLD,MDKA.JK,10,0.5,1,5,60.0,1.57,7.55,2.03,7.51,1.57,111
GOLD,MDKA.JK,10,2.0,2,4,50.0,1.27,4.72,2.02,4.92,1.27,112
GOLD,MDKA.JK,10,2.5,2,4,50.0,1.27,4.72,2.02,4.92,1.27,113
GOLD,MDKA.JK,10,3.0,2,4,50.0,1.27,4.72,2.02,4.92,1.27,114
GOLD,MDKA.JK,1,3.0,5,3,66.67,0.72,2.09,2.02,2.11,0.72,115
GOLD,MDKA.JK,3,0.5,5,7,57.14,1.77,11.19,1.95,9.42,1.77,116
GOLD,ANTM.JK,10,0.5,1,5,60.0,1.29,6.17,1.93,6.79,1.29,117
GOLD,HRTA.JK,10,5.0,10,3,66.67,5.37,12.52,1.92,17.56,5.37,118
GOLD,BRMS.JK,10,1.0,3,5,60.0,2.0,9.15,1.9,6.49,2.0,119
GOLD,BRMS.JK,10,1.5,3,5,60.0,2.0,9.15,1.9,6.49,2.0,120
GOLD,HRTA.JK,10,5.0,5,3,66.67,2.33,5.84,1.87,8.02,2.33,121
GOLD,HRTA.JK,5,5.0,2,4,50.0,1.58,5.86,1.84,7.42,1.58,122
GOLD,MDKA.JK,1,0.5,10,7,42.86,2.79,15.88,1.83,11.68,2.79,123
GOLD,ANTM.JK,1,2.5,1,6,66.67,1.24,6.73,1.83,6.44,1.24,124
GOLD,ANTM.JK,10,2.0,5,4,75.0,3.06,10.15,1.81,15.14,3.06,125
GOLD,ANTM.JK,10,2.5,5,4,75.0,3.06,10.15,1.81,15.14,3.06,126
GOLD,ANTM.JK,10,3.0,5,4,75.0,3.06,10.15,1.81,15.14,3.06,127
GOLD,ANTM.JK,3,5.0,2,3,33.33,1.1,3.04,1.8,4.11,1.1,128
GOLD,HRTA.JK,3,1.5,2,6,50.0,3.24,14.44,1.77,18.45,3.24,129
GOLD,HRTA.JK,3,2.0,2,6,50.0,3.24,14.44,1.77,18.45,3.24,130
GOLD,MDKA.JK,3,2.5,3,6,33.33,2.13,10.45,1.76,15.85,2.13,131
GOLD,MDKA.JK,3,3.0,3,6,33.33,2.13,10.45,1.76,15.85,2.13,132
GOLD,ANTM.JK,10,1.0,3,5,80.0,1.48,6.63,1.76,9.71,1.48,133
GOLD,MDKA.JK,3,1.0,3,6,50.0,2.42,11.82,1.73,12.69,2.42,134
GOLD,HRTA.JK,10,2.0,1,4,50.0,0.49,1.87,1.73,2.67,0.49,135
GOLD,HRTA.JK,10,2.5,1,4,50.0,0.49,1.87,1.73,2.67,0.49,136
GOLD,HRTA.JK,10,3.0,1,4,50.0,0.49,1.87,1.73,2.67,0.49,137
GOLD,HRTA.JK,10,5.0,1,3,66.67,0.65,1.87,1.73,2.67,0.65,138
GOLD,ANTM.JK,1,1.5,2,6,83.33,0.7,3.95,1.67,6.29,0.7,139
GOLD,HRTA.JK,3,0.5,10,7,57.14,2.46,14.39,1.65,24.32,2.46,140
GOLD,MDKA.JK,3,1.5,10,6,50.0,2.17,8.88,1.65,16.07,2.17,141
GOLD,MDKA.JK,3,2.0,10,6,50.0,2.17,8.88,1.65,16.07,2.17,142
GOLD,PSAB.JK,1,0.5,2,7,42.86,1.42,8.13,1.65,9.06,1.42,143
GOLD,MDKA.JK,5,0.5,1,7,71.43,1.05,6.6,1.61,7.11,1.05,144
GOLD,MDKA.JK,5,1.0,1,7,71.43,1.05,6.6,1.61,7.11,1.05,145
GOLD,HRTA.JK,1,1.0,10,6,66.67,2.13,10.47,1.6,20.11,2.13,146
GOLD,MDKA.JK,1,1.0,5,7,71.43,1.23,7.04,1.59,8.1,1.23,147
GOLD,HRTA.JK,3,1.5,5,6,50.0,2.25,10.34,1.56,14.84,2.25,148
GOLD,HRTA.JK,3,2.0,5,6,50.0,2.25,10.34,1.56,14.84,2.25,149
GOLD,HRTA.JK,1,0.5,3,7,57.14,1.34,8.13,1.55,10.03,1.34,150
GOLD,ANTM.JK,1,1.0,10,6,50.0,2.32,9.54,1.54,18.0,2.32,151
GOLD,MDKA.JK,3,2.5,2,6,66.67,1.5,7.07,1.54,14.4,1.5,152
GOLD,MDKA.JK,3,3.0,2,6,66.67,1.5,7.07,1.54,14.4,1.5,153
GOLD,ANTM.JK,10,1.0,5,5,60.0,1.72,6.84,1.53,13.29,1.72,154
GOLD,HRTA.JK,1,1.0,1,7,42.86,0.33,2.25,1.53,2.58,0.33,155
GOLD,HRTA.JK,10,0.5,3,5,60.0,1.18,4.71,1.52,11.07,1.18,156
GOLD,PSAB.JK,5,0.5,1,7,28.57,0.78,4.47,1.51,5.57,0.78,157
GOLD,PSAB.JK,5,1.0,1,7,28.57,0.78,4.47,1.51,5.57,0.78,158
GOLD,ANTM.JK,3,0.5,3,8,62.5,1.32,8.55,1.49,13.69,1.32,159
GOLD,HRTA.JK,3,1.0,2,6,50.0,2.31,7.86,1.43,18.45,2.31,160
GOLD,MDKA.JK,3,2.5,10,6,33.33,1.48,4.51,1.43,19.43,1.48,161
GOLD,MDKA.JK,3,3.0,10,6,33.33,1.48,4.51,1.43,19.43,1.48,162
GOLD,HRTA.JK,3,1.0,5,6,50.0,2.05,8.06,1.41,19.75,2.05,163
GOLD,HRTA.JK,3,2.5,3,6,33.33,1.39,5.98,1.41,12.39,1.39,164
GOLD,HRTA.JK,3,3.0,3,6,33.33,1.39,5.98,1.41,12.39,1.39,165
GOLD,HRTA.JK,1,2.0,5,6,33.33,1.59,6.19,1.4,12.82,1.59,166
GOLD,HRTA.JK,10,1.5,2,5,60.0,0.88,3.32,1.39,11.45,0.88,167
