driver,driver_symbol,ticker,rule,signal_date,event_date,driver_close,driver_return_pct,entry_date,buy_date,exit_date,sell_date,entry_price,buy_price,exit_price,sell_price,return_pct,return_decimal,lookback_days,threshold_pct,hold_days,cooldown_days
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2005-11-17,2005-11-17,486.2000122070313,5.672681103517219,2005-11-18,2005-11-18,2005-12-01,2005-12-01,407.3887634277344,407.3887634277344,487.18658447265625,487.18658447265625,19.58763427187087,0.19587634271870868,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2007-12-28,2007-12-28,839.5999755859375,5.0813486340347325,2007-12-31,2007-12-31,2008-01-16,2008-01-16,3758.896484375,3758.896484375,3275.90966796875,3275.90966796875,-12.849165131679797,-0.12849165131679796,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2008-02-20,2008-02-20,934.5999755859376,5.4972287876485115,2008-02-21,2008-02-21,2008-03-05,2008-03-05,3401.90625,3401.90625,3401.90625,3401.90625,0.0,0.0,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2008-04-15,2008-04-15,928.7000122070312,5.187448921338955,2008-04-16,2008-04-16,2008-04-29,2008-04-29,2918.91943359375,2918.91943359375,2897.920166015625,2897.920166015625,-0.7194192253628162,-0.007194192253628162,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2008-05-16,2008-05-16,899.0,5.0110998291643005,2008-05-21,2008-05-21,2008-06-03,2008-06-03,2897.920166015625,2897.920166015625,2792.923095703125,2792.923095703125,-3.623187123779925,-0.03623187123779925,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2008-06-26,2008-06-26,913.0999755859376,5.05061697680349,2008-06-27,2008-06-27,2008-07-10,2008-07-10,2708.92529296875,2708.92529296875,2540.929931640625,2540.929931640625,-6.201550178004966,-0.062015501780049664,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2008-08-29,2008-08-29,829.2999877929688,5.508904299359885,2008-09-01,2008-09-01,2008-09-12,2008-09-12,1562.35693359375,1562.35693359375,1007.9722290039062,1007.9722290039062,-35.48387008560472,-0.3548387008560472,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2008-09-30,2008-09-30,874.2000122070312,12.582100734968616,2008-10-06,2008-10-06,2008-10-17,2008-10-17,890.37548828125,890.37548828125,974.3731689453125,974.3731689453125,9.433961488114262,0.09433961488114262,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2008-11-21,2008-11-21,791.7000122070312,7.978723271417731,2008-11-24,2008-11-24,2008-12-05,2008-12-05,806.3777465820312,806.3777465820312,806.3777465820312,806.3777465820312,0.0,0.0,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2008-12-23,2008-12-23,837.2000122070312,8.38943368005789,2008-12-24,2008-12-24,2009-01-13,2009-01-13,907.1749877929688,907.1749877929688,965.973388671875,965.973388671875,6.481483911053876,0.06481483911053876,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2009-01-26,2009-01-26,908.5,6.344377031662329,2009-01-27,2009-01-27,2009-02-09,2009-02-09,940.7740478515625,940.7740478515625,915.5747680664062,915.5747680664062,-2.6785687639559796,-0.026785687639559796,10,5.0,10,20
